"","deploymentID","locationID","locationName","latitude","longitude","coordinateUncertainty","deploymentStart","deploymentEnd","setupBy","cameraID","cameraModel","cameraDelay","cameraHeight","cameraDepth","cameraTilt","cameraHeading","detectionDistance","timestampIssues","baitUse","featureType","habitat","deploymentGroups","deploymentTags","deploymentComments","days"
"14","0b0ba9ec-b6d9-4357-a859-891ed7a08c87","7ca6dff1-d228-4ac3-8a10-2731fbc7897d","SK28",53.0542098637,5.867175816,NA,2023-04-05 15:00:00,2023-04-25 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",19.5833333333333
"15","0f3bc588-0c9a-4f9a-9be7-27d0c49c2b83","2f0a36b9-746c-4e44-b1bc-e6f7353630ea","SK24",53.0559152384,5.8701167222,NA,2023-04-25 06:00:00,2023-05-03 09:14:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",8.13487268518518
"16","0ff6a19d-72ea-4e9d-8f55-58fad90021ed","5ddd7685-5a4f-4d14-afe7-c9cc016d8c75","SK06",53.0668117152,5.8670454133,NA,2023-05-18 12:02:19,2023-05-18 12:12:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.00733796296296296
"17","13b309ed-6821-4895-9a53-4ca3adc9fc7c","c284d9ab-d6bb-4014-85d7-d27e2f6ffabd","SK05",53.0576192866,5.8614913769,NA,2023-05-13 18:57:30,2023-05-15 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2.04340277777778
"18","13d2eb48-e187-449d-9ffb-099af9657b30","01f3b90a-160f-4650-9e1b-a60defd778e5","SK02",53.0613523348,5.8643316686,NA,2023-06-04 14:00:19,2023-06-04 16:16:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0943981481481481
"19","13fb603b-5d04-41af-b052-3578afc37196","2f393075-c92a-4c4b-854e-a0d86ca39f76","SK26",53.0535731272,5.8638561511,NA,2023-05-22 18:30:28,2023-06-04 17:58:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",12.9776967592593
"20","155141f3-54f7-467d-ada5-dbac4d75403f","dcbc885c-431d-4629-abbb-3966438f7f64","SK30",53.0576154728,5.8685330976,NA,2023-05-22 19:00:00,2023-06-02 09:55:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",10.6218171296296
"21","157ef1aa-9a14-4b58-ae51-fbceb81ef64c","dcbc885c-431d-4629-abbb-3966438f7f64","SK30",53.0576154728,5.8685330976,NA,2023-03-26 11:30:10,2023-04-06 14:01:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",11.1052546296296
"22","1689590d-c5f5-4ec8-911a-094659528f4f","5ddd7685-5a4f-4d14-afe7-c9cc016d8c75","SK06",53.0668117152,5.8670454133,NA,2023-05-17 13:47:35,2023-05-18 09:08:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.806342592592593
"23","1ca9dade-5fed-4963-8a0c-a6f88696757f","35434171-5370-4bdc-8cba-092e3fc36fdc","SK18",53.0633547582,5.8794717252,NA,2023-05-16 12:03:56,2023-05-19 13:26:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3.05708333333333
